Winner,Loser
1,8,
8,2,
1,2,
8,15,
1,10,
2,5,
2,4,
15,3,
8,4,
10,11,
1,4,
2,11,
5,1,
2,3,
4,1,
2,7,
3,11,
3,6,
10,2,
11,3,
5,4,
2,7,
1,9,
4,5,
15,7,
4,12,
8,1,
11,3,
1,9,
1,9,
4,12,
3,14,
2,15,
3,14,
2,15,
3,14,
9,8,
6,11,
3,14,
7,10,
11,6,
7,10,
10,7,
11,6,
4,13,
5,12,
2,15,
1,16,
4,13,
3,14,
15,2,
5,12,
12,5,
4,13,
8,9,
12,5,
7,10,
11,6,
9,8,
1,16,
1,16,
9,8,
1,16,
4,13,
1,1,
1,11,
1,2,
11,1,
1,6,
2,12,
1,3,
11,2,
6,7,
1,4,
1,5,
12,8,
2,11,
1,5,
3,15,
11,14,
6,3,
7,2,
1,8,
1,8,
4,5,
5,13,
2,10,
5,13,
11,3,
12,4,
15,7,
8,1,
2,10,
1,9,
3,6,
11,6,
6,11,
13,4,
10,7,
2,15,
11,6,
2,15,
6,11,
8,9,
1,16,
5,12,
8,9,
4,13,
5,12,
1,16,
1,16,
5,12,
9,8,
7,10,
13,4,
10,7,
3,14,
4,13,
2,15,
12,5,
8,9,
11,6,
15,2,
3,14,
6,11,
1,16,
1,3,
1,5,
3,2,
2,1,
5,2,
3,1,
1,3,
1,4,
2,3,
2,3,
5,1,
1,4,
3,2,
1,12,
3,2,
12,13,
3,11,
1,9,
1,9,
1,9,
4,12,
3,6,
2,10,
2,10,
2,10,
2,7,
3,6,
4,12,
3,6,
5,4,
1,9,
2,15,
1,16,
9,8,
1,16,
10,7,
3,14,
11,6,
9,8,
4,13,
3,14,
6,11,
9,8,
12,5,
13,4,
1,16,
12,5,
3,14,
4,13,
6,11,
1,16,
10,7,
2,15,
7,10,
2,15,
6,11,
4,13,
3,14,
2,15,
12,5,
5,12,
10,7,
9,8,
1,3,
1,1,
3,11,
1,2,
1,3,
3,9,
11,9,
1,5,
2,11,
3,2,
1,5,
3,7,
11,
7,
9,5,
9,4,
5,4,
7,2,
9,16,
9,1,
11,3,
7,2,
2,10,
5,13,
3,6,
1,9,
3,6,
1,8,
11,3,
2,7,
5,13,
4,5,
5,12,
2,15,
13,4,
2,15,
16,1,
3,14,
10,7,
9,8,
4,13,
7,10,
9,8,
1,16,
11,6,
7,10,
2,15,
5,12,
3,14,
5,12,
8,9,
3,14,
7,10,
1,16,
4,13,
9,8,
3,14,
5,12,
6,11,
1,16,
6,11,
11,6,
13,4,
2,15,
1,1,
1,7,
1,3,
1,2,
7,4,
3,1,
1,11,
2,3,
1,4,
4,8,
7,3,
11,2,
3,7,
1,4,
1,4,
1,9,
2,10,
1,8,
7,2,
3,11,
7,2,
3,6,
3,11,
11,3,
8,1,
4,5,
4,5,
1,8,
2,7,
4,5,
4,12,
8,9,
6,11,
2,15,
8,9,
3,14,
2,15,
2,15,
9,8,
1,16,
6,11,
11,6,
7,10,
3,14,
11,6,
10,7,
3,14,
11,6,
7,10,
8,9,
4,13,
1,16,
5,12,
4,13,
5,12,
2,15,
1,16,
12,5,
3,14,
5,12,
4,13,
4,13,
8,9,
1,16,
8,9,
5,12,
13,4,
6,11,
3,14,
7,10,
15,2,
1,8,
5,13,
6,3,
15,7,
5,1,
6,15,
5,6,
16,1,
9,8,
5,12,
4,13,
6,11,
3,14,
7,10,
2,15,
9,16,
4,5,
3,6,
7,2,
9,4,
3,7,
9,3,
1,16,
9,8,
5,12,
4,13,
11,6,
3,14,
10,7,
2,15,
1,9,
5,4,
3,11,
2,10,
5,1,
2,3,
5,2,
1,16,
8,9,
5,12,
4,13,
6,11,
3,14,
7,10,
2,15,
8,1,
4,5,
3,6,
2,7,
4,8,
3,2,
4,3,
5,9,
4,5,
4,5,
